Score :	5.29686004e-05
Parameters:
Name	Value	SE
Vmax	1.04822677e-05	N/A
KmNADPH	0.00329366488	N/A
KmMG	0.778790145	N/A

Time courses used:
10.txt
1.txt
2.txt
3.txt
4.txt



Time course 10.txt
time	NADPH	pred_NADPH	MG	pred_MG
9.600000000e+02	2.471290800e-02	2.506550527e-02	NAN	4.992187691e+00
9.800000000e+02	2.453376200e-02	2.490527416e-02	NAN	4.992027460e+00
1.000000000e+03	2.435461600e-02	2.474516405e-02	NAN	4.991867350e+00
1.020000000e+03	2.433624300e-02	2.458517624e-02	NAN	4.991707362e+00
1.040000000e+03	2.404455700e-02	2.442531202e-02	NAN	4.991547498e+00
1.060000000e+03	2.394579700e-02	2.426557273e-02	NAN	4.991387759e+00
1.080000000e+03	2.391134600e-02	2.410595970e-02	NAN	4.991228146e+00
1.100000000e+03	2.371612300e-02	2.394647431e-02	NAN	4.991068660e+00
1.120000000e+03	2.371382600e-02	2.378711793e-02	NAN	4.990909304e+00
1.140000000e+03	2.343821800e-02	2.362789197e-02	NAN	4.990750078e+00
1.160000000e+03	2.324299500e-02	2.346879787e-02	NAN	4.990590984e+00
1.180000000e+03	2.319246700e-02	2.330983707e-02	NAN	4.990432023e+00
1.200000000e+03	2.301332100e-02	2.315101106e-02	NAN	4.990273197e+00
1.220000000e+03	2.291456100e-02	2.299232132e-02	NAN	4.990114507e+00
1.240000000e+03	2.284795600e-02	2.283376938e-02	NAN	4.989955955e+00
1.260000000e+03	2.276527300e-02	2.267535679e-02	NAN	4.989797543e+00
1.280000000e+03	2.247358800e-02	2.251708512e-02	NAN	4.989639271e+00
1.300000000e+03	2.242305900e-02	2.235895596e-02	NAN	4.989481142e+00
1.320000000e+03	2.219568200e-02	2.220097094e-02	NAN	4.989323157e+00
1.340000000e+03	2.206476800e-02	2.204313171e-02	NAN	4.989165318e+00
1.360000000e+03	2.214285700e-02	2.188543993e-02	NAN	4.989007626e+00
1.380000000e+03	2.175470800e-02	2.172789732e-02	NAN	4.988850083e+00
1.400000000e+03	2.173633400e-02	2.157050560e-02	NAN	4.988692692e+00
1.420000000e+03	2.162149700e-02	2.141326654e-02	NAN	4.988535453e+00
1.440000000e+03	2.157096900e-02	2.125618191e-02	NAN	4.988378368e+00
1.460000000e+03	2.142397800e-02	2.109925355e-02	NAN	4.988221440e+00

Time course 2.txt
time	NADPH	pred_NADPH	MG	pred_MG
0.000000000e+00	5.276527300e-02	5.276527300e-02	5.000000000e+00	5.000000000e+00
2.000000000e+01	5.259623300e-02	5.259455508e-02	NAN	4.999829282e+00
4.000000000e+01	5.241111600e-02	5.242387040e-02	NAN	4.999658597e+00
6.000000000e+01	5.224207600e-02	5.225321949e-02	NAN	4.999487946e+00
8.000000000e+01	5.207303600e-02	5.208260239e-02	NAN	4.999317329e+00
1.000000000e+02	5.169499300e-02	5.191201932e-02	NAN	4.999146746e+00
1.200000000e+02	5.170280200e-02	5.174147046e-02	NAN	4.998976197e+00
1.400000000e+02	5.169453400e-02	5.157095603e-02	NAN	4.998805683e+00
1.600000000e+02	5.128433600e-02	5.140047622e-02	NAN	4.998635203e+00
1.800000000e+02	5.108314200e-02	5.123003124e-02	NAN	4.998464758e+00
2.000000000e+02	5.073725300e-02	5.105962128e-02	NAN	4.998294348e+00
2.200000000e+02	5.080937100e-02	5.088924657e-02	NAN	4.998123974e+00
2.400000000e+02	5.059209900e-02	5.071890731e-02	NAN	4.997953634e+00
2.600000000e+02	5.053559900e-02	5.054860371e-02	NAN	4.997783331e+00
2.800000000e+02	5.020578800e-02	5.037833598e-02	NAN	4.997613063e+00
3.000000000e+02	4.994028500e-02	5.020810434e-02	NAN	4.997442831e+00
3.200000000e+02	4.985163100e-02	5.003790901e-02	NAN	4.997272636e+00
3.400000000e+02	4.934497000e-02	4.986775021e-02	NAN	4.997102477e+00
3.600000000e+02	4.940101100e-02	4.969762815e-02	NAN	4.996932355e+00
3.800000000e+02	4.929627900e-02	4.952754306e-02	NAN	4.996762270e+00
4.000000000e+02	4.915939400e-02	4.935749517e-02	NAN	4.996592222e+00
4.200000000e+02	4.910289400e-02	4.918748470e-02	NAN	4.996422212e+00
4.400000000e+02	4.870877400e-02	4.901751187e-02	NAN	4.996252239e+00
4.600000000e+02	4.863619700e-02	4.884757693e-02	NAN	4.996082304e+00
4.800000000e+02	4.841892500e-02	4.867768010e-02	NAN	4.995912407e+00
5.000000000e+02	4.834634800e-02	4.850782163e-02	NAN	4.995742549e+00
5.200000000e+02	4.812907700e-02	4.833800174e-02	NAN	4.995572729e+00
5.400000000e+02	4.794396000e-02	4.816822068e-02	NAN	4.995402948e+00
5.600000000e+02	4.793569100e-02	4.799847869e-02	NAN	4.995233206e+00
5.800000000e+02	4.778272900e-02	4.782877602e-02	NAN	4.995063503e+00
6.000000000e+02	4.746899400e-02	4.765911291e-02	NAN	4.994893840e+00
6.200000000e+02	4.731603100e-02	4.748948961e-02	NAN	4.994724217e+00
6.400000000e+02	4.724345400e-02	4.731990637e-02	NAN	4.994554633e+00
6.600000000e+02	4.692972000e-02	4.715036345e-02	NAN	4.994385090e+00
6.800000000e+02	4.684106600e-02	4.698086110e-02	NAN	4.994215588e+00
7.000000000e+02	4.676848900e-02	4.681139958e-02	NAN	4.994046127e+00
7.200000000e+02	4.661552600e-02	4.664197915e-02	NAN	4.993876706e+00
7.400000000e+02	4.641433200e-02	4.647260008e-02	NAN	4.993707327e+00
7.600000000e+02	4.624529200e-02	4.630326263e-02	NAN	4.993537990e+00
7.800000000e+02	4.606017500e-02	4.613396707e-02	NAN	4.993368694e+00
8.000000000e+02	4.581074900e-02	4.596471368e-02	NAN	4.993199441e+00
8.200000000e+02	4.577032600e-02	4.579550272e-02	NAN	4.993030230e+00
8.400000000e+02	4.555305500e-02	4.562633447e-02	NAN	4.992861061e+00
8.600000000e+02	4.552870900e-02	4.545720921e-02	NAN	4.992691936e+00
8.800000000e+02	4.519889800e-02	4.528812723e-02	NAN	4.992522854e+00
9.000000000e+02	4.512632100e-02	4.511908881e-02	NAN	4.992353816e+00
9.200000000e+02	4.497335800e-02	4.495009423e-02	NAN	4.992184821e+00
9.400000000e+02	4.490078100e-02	4.478114380e-02	NAN	4.992015871e+00
9.600000000e+02	4.468350900e-02	4.461223779e-02	NAN	4.991846965e+00
9.800000000e+02	4.449839200e-02	4.444337651e-02	NAN	4.991678104e+00
1.000000000e+03	4.428112100e-02	4.427456025e-02	NAN	4.991509287e+00
1.020000000e+03	4.424069800e-02	4.410578933e-02	NAN	4.991340516e+00
1.040000000e+03	4.420027600e-02	4.393706403e-02	NAN	4.991171791e+00
1.060000000e+03	4.387046400e-02	4.376838468e-02	NAN	4.991003112e+00
1.080000000e+03	4.384611900e-02	4.359975158e-02	NAN	4.990834479e+00
1.100000000e+03	4.359669300e-02	4.343116505e-02	NAN	4.990665892e+00
1.120000000e+03	4.347588400e-02	4.326262540e-02	NAN	4.990497352e+00
1.140000000e+03	4.314607300e-02	4.309413296e-02	NAN	4.990328860e+00
1.160000000e+03	4.325034500e-02	4.292568805e-02	NAN	4.990160415e+00
1.180000000e+03	4.296876400e-02	4.275729100e-02	NAN	4.989992018e+00
1.200000000e+03	4.299265000e-02	4.258894214e-02	NAN	4.989823669e+00
1.220000000e+03	4.279145600e-02	4.242064180e-02	NAN	4.989655369e+00
1.240000000e+03	4.263849300e-02	4.225239032e-02	NAN	4.989487117e+00
1.260000000e+03	4.250160800e-02	4.208418805e-02	NAN	4.989318915e+00
1.280000000e+03	4.241295400e-02	4.191603531e-02	NAN	4.989150762e+00
1.300000000e+03	4.234037700e-02	4.174793248e-02	NAN	4.988982659e+00
1.320000000e+03	4.201056500e-02	4.157987989e-02	NAN	4.988814607e+00
1.340000000e+03	4.192191100e-02	4.141187791e-02	NAN	4.988646605e+00
1.360000000e+03	4.180110200e-02	4.124392688e-02	NAN	4.988478654e+00
1.380000000e+03	4.163206200e-02	4.107602719e-02	NAN	4.988310754e+00
1.400000000e+03	4.151125400e-02	4.090817919e-02	NAN	4.988142906e+00
1.420000000e+03	4.134221400e-02	4.074038325e-02	NAN	4.987975110e+00
1.440000000e+03	4.130179100e-02	4.057263975e-02	NAN	4.987807367e+00
